example_id                                                                    | status | run_time        |
----------------------------------------------------------------------------- | ------ | --------------- |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:1:1] | passed | 0.00368 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:2:1] | passed | 0.00527 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:3:1] | passed | 0.00356 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:4:1] | passed | 0.00386 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:5:1] | passed | 0.00392 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:6:1] | passed | 0.00334 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:7:1] | passed | 0.00414 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:8:1] | passed | 0.00343 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:1:9:1] | passed | 0.0036 seconds  |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:1:1] | passed | 0.00835 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:2:1] | passed | 0.00227 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:3:1] | passed | 0.00444 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:4:1] | passed | 0.0047 seconds  |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:5:1] | passed | 0.00204 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:6:1] | passed | 0.00279 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:7:1] | passed | 0.00375 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:8:1] | passed | 0.00324 seconds |
./spec/channels/application_cable/concerns/ws_errors_handler_spec.rb[1:2:9:1] | passed | 0.00395 seconds |
./spec/channels/application_cable/connection_spec.rb[1:1:1:1]                 | passed | 0.00675 seconds |
./spec/channels/application_cable/connection_spec.rb[1:1:2:1]                 | passed | 0.00322 seconds |
./spec/channels/video_channel_spec.rb[1:1:1]                                  | passed | 0.00698 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:1:1]                            | passed | 0.00306 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:1:2]                            | passed | 0.00577 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:1:3]                            | passed | 0.00365 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:2:1]                            | passed | 0.003 seconds   |
./spec/commands/register_user_cmd_spec.rb[1:1:2:2]                            | passed | 0.00414 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:2:3]                            | passed | 0.0035 seconds  |
./spec/commands/register_user_cmd_spec.rb[1:1:3:1]                            | passed | 0.00877 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:3:2]                            | passed | 0.01144 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:3:3]                            | passed | 0.01002 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:4:1]                            | passed | 0.01397 seconds |
./spec/commands/register_user_cmd_spec.rb[1:1:4:2]                            | passed | 0.01244 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:1:1]                            | passed | 0.00871 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:1:2]                            | passed | 0.00733 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:1:3]                            | passed | 0.00602 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:2:1]                            | passed | 0.01847 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:2:2]                            | passed | 0.01739 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:2:3]                            | passed | 0.01658 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:3:1]                            | passed | 0.03877 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:3:2]                            | passed | 0.02414 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:3:3]                            | passed | 0.04514 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:4:1]                            | passed | 0.02936 seconds |
./spec/commands/videos/create_cmd_spec.rb[1:1:4:2]                            | passed | 0.86692 seconds |
./spec/commands/videos/fetch_ytb_info_cmd_spec.rb[1:1:1:1]                    | passed | 0.00354 seconds |
./spec/commands/videos/fetch_ytb_info_cmd_spec.rb[1:1:1:2]                    | passed | 0.00379 seconds |
